"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Wed Jan 10 18:29:46 GMT 2024","Wed Jan 10 18:29:46 GMT 2024","359","tests","topics_test","TestTopics","","","Edit topic",""
"passed","Wed Jan 10 18:29:56 GMT 2024","Wed Jan 10 18:29:58 GMT 2024","2342","tests","topics_test","TestTopics","","","Delete topic",""
"passed","Wed Jan 10 18:30:04 GMT 2024","Wed Jan 10 18:30:05 GMT 2024","1333","tests","topics_test","TestTopics","","","Successful topic search",""
"passed","Wed Jan 10 18:29:33 GMT 2024","Wed Jan 10 18:29:35 GMT 2024","2146","tests","topics_test","TestTopics","","","Delete single comment in the topic",""
"passed","Wed Jan 10 18:29:10 GMT 2024","Wed Jan 10 18:29:11 GMT 2024","1236","tests","topics_test","TestTopics","","","Add text comment",""
"passed","Wed Jan 10 18:30:19 GMT 2024","Wed Jan 10 18:30:21 GMT 2024","1600","tests","topics_test","TestTopics","","","Search with empty results",""
"passed","Wed Jan 10 18:30:12 GMT 2024","Wed Jan 10 18:30:14 GMT 2024","1390","tests","topics_test","TestTopics","","","Successful comment search",""
"broken","Wed Jan 10 18:28:29 GMT 2024","Wed Jan 10 18:28:39 GMT 2024","10363","tests","topics_test","TestTopics","","","Create topic without cover",""
"passed","Wed Jan 10 18:30:35 GMT 2024","Wed Jan 10 18:30:38 GMT 2024","2683","tests","topics_test","TestTopics","","","Open comment from search",""
"passed","Wed Jan 10 18:30:27 GMT 2024","Wed Jan 10 18:30:30 GMT 2024","2720","tests","topics_test","TestTopics","","","Open topic from search",""
"failed","Wed Jan 10 18:29:22 GMT 2024","Wed Jan 10 18:29:23 GMT 2024","127","tests","topics_test","TestTopics","","","Edit text comment",""
"passed","Wed Jan 10 18:28:57 GMT 2024","Wed Jan 10 18:29:00 GMT 2024","3401","tests","topics_test","TestTopics","","","Create topic with cover",""
